State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
Alabama,Autauga County,1,1912,693,0,0,0.00,0,0,0,0,0,0,11.3,81250,1,1,1,1,1,0,0,0,1912,100.00,467,24.42,507,26.52,221,11.56,1622,84.83,217,11.35,14,0.73,0,0.00,14,0.73,45,2.35,44,2.30,5,0.79,92,13.33,455,507,221,1622,217,14,0,14,45,44,6,102
Alabama,Autauga County,1,2170,743,0,181,8.34,1,1,1,0,0,1,17.9,49000,1,1,1,1,1,0,0,0,2170,100.00,962,44.34,606,27.93,214,9.86,888,40.92,1217,56.08,5,0.23,0,0.00,5,0.23,55,2.53,75,3.46,93,12.47,161,21.70,802,606,214,888,1217,5,0,5,55,75,89,156
Alabama,Autauga County,1,3373,1256,0,0,0.00,0,0,0,0,0,0,15.0,62609,1,1,1,1,1,0,0,0,2857,84.70,971,28.79,771,22.86,358,10.60,2177,64.53,554,16.43,10,0.30,1,0.03,10,0.30,105,3.10,78,2.30,39,3.09,139,11.05,1306,894,439,2576,647,17,5,11,117,87,99,172
Alabama,Autauga County,1,4386,1722,0,0,0.00,0,0,0,0,0,0,2.8,70607,1,1,1,1,1,0,0,0,3651,83.24,893,20.36,847,19.30,767,17.48,3395,77.41,170,3.88,15,0.34,3,0.06,8,0.18,60,1.38,61,1.40,19,1.13,84,4.88,922,1015,904,4086,193,18,4,11,74,85,21,98
Alabama,Autauga County,1,10766,4082,0,181,1.68,0,0,0,0,1,0,15.2,96334,1,1,1,1,1,0,0,1,7778,72.25,1719,15.97,2309,21.45,840,7.80,6299,58.51,1001,9.29,209,1.94,5,0.05,38,0.35,227,2.11,277,2.57,164,4.01,235,5.76,2242,3162,1126,8666,1437,296,9,48,310,355,230,339
Alabama,Autauga County,1,3668,1311,0,0,0.00,1,1,1,0,0,1,21.6,69521,1,1,1,1,1,0,0,0,3668,100.00,1674,45.63,1008,27.48,411,11.21,2751,75.00,740,20.17,9,0.25,1,0.03,10,0.27,157,4.28,176,4.80,73,5.54,220,16.82,1659,1008,411,2751,740,9,1,10,157,176,71,224
Alabama,Autauga County,1,2891,1188,0,36,1.25,1,1,1,0,0,1,30.5,39875,1,1,1,1,1,0,0,0,2287,79.12,1307,45.19,557,19.25,277,9.57,1849,63.97,337,11.67,10,0.35,3,0.10,9,0.30,79,2.73,82,2.84,23,1.91,263,22.12,2175,686,360,2333,435,13,3,11,96,98,34,390
Alabama,Autauga County,0,3081,1074,0,0,0.00,0,0,0,0,0,0,8.9,89423,0,0,0,0,0,0,0,0,3081,100.00,576,18.70,815,26.45,341,11.07,2690,87.31,278,9.02,16,0.52,0,0.00,27,0.88,70,2.27,57,1.85,74,6.91,150,13.99,527,815,341,2690,278,16,0,27,70,57,68,143
Alabama,Autauga County,0,10435,3694,0,0,0.00,0,0,0,0,1,0,13.7,84833,0,0,0,0,0,0,0,1,10330,99.00,2783,26.67,2883,27.63,1050,10.06,8645,82.85,1382,13.25,61,0.58,7,0.07,49,0.47,186,1.78,158,1.52,193,5.22,314,8.50,3103,2909,1060,8744,1387,61,7,49,187,159,198,352
Alabama,Autauga County,0,5675,2067,0,14,0.25,0,0,0,0,0,0,9.8,77865,0,0,0,0,0,0,0,0,5549,97.79,1329,23.42,1478,26.04,616,10.86,4719,83.16,678,11.95,20,0.34,3,0.05,14,0.25,116,2.04,80,1.40,82,3.98,298,14.41,1612,1511,630,4835,679,20,3,14,124,96,97,340
